,Artist,Title,Weeks
134,Martin Garrix & Bebe Rexha,In The Name Of Love,23
135,Jon Bellion,All Time Low,22
136,John Legend,Love Me Now,19
137,Keith Urban,Blue Ain't Your Color,21
138,Justin Timberlake,Can't Stop The Feeling!,52
139,Major Lazer Featuring Justin Bieber & MO,Cold Water,27
140,Sia Featuring Sean Paul,Cheap Thrills,52
141,X Ambassadors,Unsteady,34
142,The Chainsmokers Featuring Daya,Don't Let Me Down,52
143,Shawn Mendes,Mercy,32
144,Pentatonix,Hallelujah,11
145,Bobby Helms,Jingle Bell Rock,19
146,Young M.A,OOOUUU,20
147,Brenda Lee,Rockin' Around The Christmas Tree,18
148,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,26
149,Niall Horan,This Town,22
150,21 Savage & Metro Boomin Featuring Future,X,21
151,Steve Aoki & Louis Tomlinson,Just Hold On,6
152,The Weeknd,Party Monster,19
153,J. Cole,False Prophets,2
154,21 Savage & Metro Boomin,No Heart,19
155,Florida Georgia Line Featuring Tim McGraw,May We All,20
156,J. Cole,Everybody Dies,1
157,Lil Uzi Vert,You Was Right,28
158,Brett Eldredge,Wanna Be That Song,20
159,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,20
160,Adele,Water Under The Bridge,22
161,Lady Gaga,Million Reasons,20
162,PARTYNEXTDOOR Featuring Drake,Come And See Me,24
163,Future Featuring Drake,Used To This,18
164,James Arthur,Say You Won't Let Go,52
165,Auli'i Cravalho,How Far I'll Go,20
166,Sundance Head,Darlin' Don't Go,1
167,Little Big Town,Better Man,20
168,Old Dominion,Song For Another Time,18
169,Carrie Underwood,Dirty Laundry,16
170,Shakira Featuring Maluma,Chantaje,18
171,Drake Featuring 21 Savage,Sneakin',14
172,Lil Yachty,1 Night,20
173,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,20
174,Childish Gambino,Redbone,44
175,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,20
176,Post Malone Featuring Justin Bieber,Deja Vu,2
177,The Weeknd,Reminder,17
178,Blake Shelton,A Guy With A Girl,17
179,Fitz And The Tantrums,HandClap,20
180,The Weeknd,Six Feet Under,4
181,The Weeknd Featuring Kendrick Lamar,Sidewalks,4
182,Post Malone Featuring Quavo,Congratulations,45
183,Thomas Rhett,Star Of The Show,19
184,Tim McGraw,How I'll Always Be,12
185,Brett Young,Sleep Without You,18
186,Train,Play That Song,20
187,Andy Grammer,Fresh Eyes,18
188,Sundance Head,At Last,1
189,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,27
190,Kenny Chesney Featuring P!nk,Setting The World On Fire,20
191,Jon Pardi,Dirt On My Boots,20
192,The Weeknd,Die For You,3
193,Alessia Cara,How Far I'll Go,19
194,The Chainsmokers Featuring Phoebe Ryan,All We Know,16
195,PnB Rock,Selfish,19
196,Dwayne Johnson,You're Welcome,13
197,A Boogie Wit da Hoodie,My Sh*t,12
198,Marshmello,Alone,10
199,Rihanna,Sex With Me,15
200,Adele,Hello,26
201,Justin Bieber,Sorry,42
202,Drake,Hotline Bling,36
203,Justin Bieber,Love Yourself,41
204,Justin Bieber,What Do You Mean?,31
205,Selena Gomez,Same Old Love,28
206,The Weeknd,The Hills,48
207,Alessia Cara,Here,34
208,Shawn Mendes,Stitches,52
209,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You,39
210,Fetty Wap Featuring Remy Boyz,679,40
211,The Weeknd,In The Night,20
212,Drake & Future,Jumpman,32
213,Ellie Goulding,On My Mind,22
214,The Weeknd,Can't Feel My Face,41
215,Travis Scott,Antidote,26
216,Elle King,Ex's & Oh's,38
217,Mariah Carey,All I Want For Christmas Is You,19
218,twenty one pilots,Stressed Out,52
219,Bryson Tiller,Don't,34
220,Thomas Rhett,Die A Happy Man,30
221,Post Malone,White Iverson,30
222,Taylor Swift,Wildest Dreams,27
223,Jordan Smith,Mary Did You Know,1
224,Major Lazer & DJ Snake Featuring MO,Lean On,48
225,The Chainsmokers Featuring Rozes,Roses,31
226,Silento,Watch Me,51
227,Tory Lanez,Say It,24
228,Cam,Burning House,25
229,Demi Lovato,Confident,20
230,Fetty Wap,Trap Queen,52
231,One Direction,Perfect,20
232,Ariana Grande,Focus,13
233,Sam Hunt,Break Up In A Small Town,20
234,Future Featuring Drake,Where Ya At,25
235,J. Cole,No Role Modelz,25
236,R. City Featuring Adam Levine,Locked Away,27
