,Top_Three_Words
108,"[('can', 21), ('better', 17), ('know', 11)]"
109,"[('feel', 62), ('coming', 60), ('babe', 34)]"
110,"[('name', 48), ('love', 24), ('life', 2)]"
111,"[('low', 86), ('lie', 17), ('broken', 6)]"
112,"[('love', 31), ('now', 30), ('know', 13)]"
113,"[('don', 7), ('blue', 7), ('good', 6)]"
114,"[('dance', 42), ('can', 24), ('feeling', 24)]"
115,"[('let', 11), ('won', 10), ('tonight', 6)]"
116,"[('need', 16), ('don', 14), ('thrills', 12)]"
117,"[('hold', 21), ('unsteady', 14), ('little', 14)]"
118,"[('let', 38), ('don', 38), ('need', 17)]"
119,"[('mercy', 17), ('please', 10), ('heart', 9)]"
120,"[('hallelujah', 28), ('well', 4), ('seen', 3)]"
121,"[('jingle', 28), ('bell', 20), ('time', 10)]"
122,"[('got', 12), ('ooouuu', 10), ('body', 5)]"
123,"[('christmas', 6), ('tree', 4), ('around', 4)]"
124,"[('got', 7), ('said', 6), ('fuck', 5)]"
125,"[('everything', 10), ('back', 6), ('comes', 6)]"
126,"[('hold', 8), ('just', 8), ('darling', 8)]"
127,"[('girl', 31), ('woke', 26), ('know', 25)]"
128,"[('like', 29), ('told', 14), ('shoulda', 14)]"
129,"[('hard', 13), ('nigga', 11), ('niggas', 11)]"
130,"[('may', 15), ('one', 12), ('get', 8)]"
131,"[('rappers', 11), ('nigga', 6), ('one', 5)]"
132,"[('alright', 12), ('nigga', 12), ('like', 10)]"
133,"[('wanna', 27), ('makes', 12), ('song', 8)]"
134,"[('mind', 58), ('know', 44), ('baby', 18)]"
135,"[('ain', 28), ('say', 21), ('love', 12)]"
136,"[('reasons', 21), ('million', 21), ('one', 18)]"
137,"[('come', 24), ('don', 15), ('ever', 13)]"
138,"[('used', 18), ('got', 10), ('know', 8)]"
139,"[('just', 9), ('let', 8), ('won', 8)]"
140,"[('know', 6), ('one', 5), ('sea', 5)]"
141,"[('man', 21), ('better', 21), ('just', 13)]"
142,"[('let', 6), ('pretty', 3), ('time', 3)]"
143,"[('line', 10), ('dry', 10), ('gonna', 4)]"
144,"[('puro', 24), ('que', 15), ('chantaje', 12)]"
145,"[('call', 13), ('make', 13), ('niggas', 12)]"
146,"[('want', 15), ('can', 13), ('wife', 12)]"
147,"[('woke', 12), ('stay', 12), ('gon', 11)]"
148,"[('tell', 15), ('cause', 15), ('want', 13)]"
149,"[('know', 17), ('man', 15), ('don', 9)]"
150,"[('guy', 16), ('girl', 13), ('don', 8)]"
151,"[('can', 15), ('clap', 14), ('hands', 13)]"
152,"[('six', 23), ('feet', 19), ('gon', 14)]"
153,"[('say', 16), ('life', 12), ('sidewalks', 7)]"
154,"[('yeah', 23), ('made', 7), ('say', 7)]"
155,"[('show', 9), ('star', 9), ('know', 8)]"
156,"[('always', 12), ('little', 7), ('back', 6)]"
157,"[('can', 10), ('without', 8), ('sleep', 7)]"
158,"[('makes', 14), ('one', 14), ('song', 12)]"
159,"[('eyes', 13), ('fresh', 13), ('bottle', 7)]"
160,"[('rockabye', 31), ('rocka', 21), ('gonna', 19)]"
161,"[('fire', 10), ('world', 10), ('setting', 8)]"
162,"[('little', 15), ('gonna', 14), ('boots', 11)]"
163,"[('die', 15), ('baby', 13), ('yeah', 10)]"
164,"[('know', 6), ('one', 5), ('sea', 5)]"
165,"[('know', 12), ('cause', 10), ('right', 4)]"
166,"[('swear', 28), ('want', 26), ('yeah', 15)]"
167,"[('welcome', 14), ('okay', 7), ('hey', 5)]"
168,"[('home', 10), ('alone', 10), ('back', 6)]"
169,"[('sex', 15), ('amazing', 12), ('shots', 5)]"
170,"[('hello', 9), ('anymore', 7), ('sorry', 7)]"
171,"[('sorry', 20), ('say', 12), ('yeah', 11)]"
172,"[('need', 10), ('one', 9), ('call', 9)]"
173,"[('love', 9), ('like', 8), ('still', 8)]"
174,"[('mean', 27), ('wanna', 10), ('want', 9)]"
175,"[('love', 28), ('old', 24), ('sick', 20)]"
176,"[('fucked', 13), ('real', 12), ('fikir', 10)]"
177,"[('can', 10), ('don', 8), ('break', 3)]"
178,"[('now', 10), ('stitches', 9), ('needing', 9)]"
179,"[('gonna', 26), ('like', 16), ('lose', 13)]"
180,"[('got', 13), ('yeah', 11), ('remy', 8)]"
181,"[('don', 11), ('night', 9), ('understand', 7)]"
182,"[('jumpman', 35), ('just', 15), ('something', 10)]"
183,"[('got', 27), ('mind', 26), ('know', 16)]"
184,"[('love', 31), ('can', 14), ('face', 11)]"
185,"[('night', 25), ('show', 24), ('don', 15)]"
186,"[('one', 7), ('wanna', 6), ('back', 6)]"
187,"[('christmas', 15), ('want', 15), ('baby', 11)]"
188,"[('used', 13), ('now', 10), ('wish', 10)]"
189,"[('got', 9), ('don', 8), ('throwed', 6)]"
190,"[('baby', 9), ('man', 8), ('happy', 8)]"
191,"[('saucin', 10), ('shot', 9), ('watch', 9)]"
192,"[('dreams', 8), ('wildest', 8), ('say', 8)]"
193,"[('know', 13), ('baby', 10), ('mary', 10)]"
194,"[('lean', 18), ('need', 14), ('gun', 12)]"
195,"[('let', 11), ('never', 11), ('say', 11)]"
196,"[('know', 37), ('gon', 15), ('just', 11)]"
197,"[('house', 7), ('burning', 7), ('sleepwalking', 6)]"
198,"[('wrong', 30), ('confident', 11), ('rated', 4)]"
199,"[('baby', 16), ('just', 12), ('yeah', 9)]"
200,"[('like', 19), ('perfect', 14), ('baby', 14)]"
201,"[('focus', 54), ('ooh', 16), ('say', 8)]"
202,"[('like', 8), ('town', 7), ('see', 7)]"
203,"[('ass', 37), ('dog', 26), ('niggas', 11)]"
204,"[('don', 41), ('saved', 20), ('wanna', 20)]"
205,"[('tell', 25), ('love', 13), ('still', 11)]"
206,"[('christmas', 6), ('tree', 4), ('around', 4)]"
207,"[('need', 15), ('don', 13), ('yeah', 12)]"
